title,url,summary,last_updated,next_step,project
Development notes frontmatter,local://local_f564eed6-e3ac-4c6a-be81-acfc9a288a32,"Organised 18 development notes in Obsidian into project subfolders (_reference, _ideas, are.na-toolkit, md-pkim-library, md-tools). Flagged a filename starting with # for renaming.",2026-06-09,Rename the #LLM Knowledge Bases note to remove the # prefix.,md-tools
Virtual environment package audit,local://local_7bc3bd7e-e2b7-4841-8bf0-c55666a3069a,"Audited the Python 3.12 venv for dt-knowledge-base: all imports match requirements.txt; identified the correct pyenv command for recreating the venv.",2026-06-09,No urgent action; note the pyenv version for future venv recreation.,md-tools
Life class ideas,local://local_5301e068-9dd6-4ef0-9f56-4f2469299148,"Quick chat: three fast life class ideas (long pose, continuous tone, negative space/blind contour) as alternatives to the previous week's two-figure and ink sessions.",2026-06-08,Choose one idea and plan a timed running order.,md-tools
Kim's tone of voice guide,local://local_c1f114d0-97a6-47ab-948a-21e66f4eb3d5,"Built a comprehensive tone of voice guide for Kim pulling from newsletters, artist statements, and website; identified three registers; added before/after examples, a briefing template, and Claude-specific prompting guidance.",2026-06-07,Use the efficient prompt version (~180 tokens) when working in long threads; full version for fresh pieces.,md-tools
Drawing knowledge base setup,local://local_6ddfd7fa-ed9f-4044-86cb-822c3b6bcea2,"Set up requirements.txt for dt-knowledge-base with annotated dependencies, system requirements (tesseract, poppler), and venv setup instructions.",2026-06-06,Run pip install -r requirements.txt in a fresh venv to verify the dependency list.,md-tools
Artist data enrichment,local://local_ff7f16c0-418c-4f1d-ae41-d87ed6e297f4,"Updated convert-folder-smart.py to v1.1 (logs conversions to EXTRACTION-LOG.md); wrote scripts/README.md; updated WORKFLOW.md, SCHEMA.md, REPO-STATUS.md, and HANDOFF.md.",2026-06-05,Move Obsidian fixes to the top of the work queue per updated HANDOFF.,md-tools
Book conversion status,local://local_ae0eb8f1-825f-4d9e-aa8a-ec50626ef3b9,"Fixed artist URLs; created lod-lookup.yaml (23 artists with Q numbers and ULANs); converted catalogue and source maps from JSON to YAML; added wikilinks throughout 33 exercise files.",2026-06-04,"Manually delete old .json files; verify the 9 artist files still listed as links_status: unverified.",md-tools
Arena hypernormalisation blacklist,local://local_b89cece0-3cf1-4f22-b3c0-6b0ac34bed3d,"Added blocklist, accessibility/alt text, and music-muted-by-default features to the Arena Hypernormalisation slideshow tool. Updated README, HANDOFF, and deployed docs/arena-hypernormalisation.html.",2026-05-31,Push the updated HTML to the live repo.,md-tools
Arena tools launch updates,local://local_846953cc-964e-4d5d-8845-d84b3a25d35f,Wrote README.md and HANDOFF.md for the are.na toolkit at launch. Covers all tools and their current state.,2026-05-30,Continue development per HANDOFF.,md-tools
Are.na tools landing page,local://local_7a133f7f-e50b-4535-907f-c0d5047d98e0,"Improved the are.na tools landing page UI: removed card borders, increased font sizes, fixed line heights, corrected link colours.",2026-05-30,Test the landing page across tools and confirm visual consistency.,md-tools
Arena hypernormalisation tool,local://local_bf182ddb-6cf5-401e-ab9b-b96509380157,"Rebuilt the Arena Hypernormalisation slideshow: hard-cut transitions, stats/setup moved to bottom-left, cache/pool refresh controls, per-entry cache purge, auto top-up every 25 slides.",2026-05-29,Test the pool refresh and cache purge in a real session; check the handoff doc is accurate.,md-tools
Arena palette updates,local://local_79054343-00bb-4a04-bf1f-6f9c16857c2c,"Debugging session for color label patch logic in Arena palette tool; identified the fix (revert hex.slice(1) changes and reach legend nodes via btn.dataset.hex).",2026-05-28,Apply the documented fix and verify color labels render correctly.,md-tools
Start next book project,local://local_d22724a1-2725-4da3-9d7e-561d04355bc8,"Confirmed Tesseract 4.1.1 is available in the sandbox; discussed tone exercises from the knowledge base (Find the Form / Aux Trois Crayons).",2026-06-04,Choose next book and begin extraction using markitdown-ocr as the first option.,md-tools
Next steps for drawing knowledge base,local://local_faf18099-49cb-4154-9504-c2eed423cced,"Extracted Bargue Drawing Course: 3 exercises (bargue-001–003). Catalogue updated to 36 exercises / 4 books. Wrote git commit command.",2026-06-03,Commit the Bargue files using the provided git command; move on to Bridget Woods extraction.,md-tools
Continue teaching materials test,local://local_905681b3-0d2a-4e92-b358-da62aa36a85b,"Tested the teaching skill; saved memory and HANDOFF notes identifying four pedagogy documents to source (QAA descriptors, Fink's taxonomy, Schön/Kolb, cross-discipline ILO examples).",2026-06-02,Source the four pedagogy documents and drop them into the pedagogy folder to enable the full skill.,md-tools
Build drawing instruction knowledge base,local://local_9ce0abaf-21e3-4391-9d08-3968dcc591f6,"Initial setup session for dt-knowledge-base: wrote HANDOFF.md; discussed SKILL.md exercise format and style; established working conventions and extraction workflow.",2026-06-01,Review the SKILL.md style/format questions flagged in HANDOFF before any further extraction.,md-tools
Convert handwritten notes to markdown files,local://local_9725b3f9-708c-4cbe-9bf6-f7e668bf37e6,"Debugging Anthropic API key 'no credit' error for a script converting handwritten notes; resolved by creating a new key after adding billing credit.",2026-05-28,Confirm the script is running cleanly on all note images.,md-tools
Analyze cultural education documents for patterns,local://local_7b974585-c24f-4ad3-b135-717ac59e66eb,"Analysed a collection of cultural education documents to define 'place' through cultural practice; produced a five-slide presentation structure on place-making and cultural education.",2026-05-27,Use the five-slide structure as the basis for a presentation or funding application narrative.,md-tools
